school_latitude(W),school_longitude(N),school_zip,t_price_excl_donation($),t_price_incl_donation($),students_reached,total_donations($),num_donors
40.693414,-73.908592,11207,727.75,887.5,0,837,1
35.216339,-80.686729,28215,85.08,103.76,25,98,1
37.766598,-122.418908,94103,139.4,170,20,140,1
40.869698,-73.879114,10467,444.85,542.5,25,513.6,3
38.185033,-122.25826,94503,257.27,313.74,15,302.4,3
40.822548,-73.85329,10473,549.4,670,12,0,0
35.922684,-81.51299,28645,758.5,925,23,0,0
41.900079,-87.73132,60651,1032.18,1258.76,30,80,1
40.72805405,-73.79055023,11366,818.98,998.76,12,250,4
37.797806,-122.426132,94123,417.18,508.76,39,496,3
37.803455,-122.424068,94109,455.1,555,30,529.4,2
33.060733,-79.539175,29458,580.15,707.5,30,0,0
40.648769,-73.907519,11236,125.05,152.5,36,128.81,2
33.955561,-118.366227,90301,412.05,502.5,33,0,0
30.517087,-92.075232,70570,703,857.32,4,679.61,1
36.01866108,-78.45350624,27596,474.58,578.76,22,568.23,2
40.792306,-73.952037,10029,333.13,406.26,20,391.89,1
39.19578163,-85.8923404,47201,1422,1734.15,50,25,1
40.749023,-74.000183,10001,444,541.46,12,0,0
31.75871649,-89.6573524,39119,320.67,391.06,40,356.47,1
37.482267,-122.214295,94063,604.81,737.57,800,718.82,7
41.89128891,-87.66551591,60642,388,473.17,25,456.47,2
34.19649124,-118.5772171,91306,124.18,151.44,20,126.73,2
36.118252,-80.222467,27105,299,364.63,90,351.76,3
34.988901,-78.318298,28328,338,412.2,200,100,1
40.840446,-73.904289,10457,138,168.29,60,162.35,3
33.878239,-118.27079,90746,142,173.17,47,167.06,2
40.669568,-73.979107,11215,177,215.85,20,208.24,2
35.24398,-97.44838,73069,306,373.17,300,75,1
20.87886,-156.469989,96732,712,868.29,22,837.65,4
42.308304,-83.121773,48209,917,1118.29,150,1078.82,3
30.661959,-96.367538,77803,417,508.54,115,490.59,1
29.478131,-95.046795,77539,452,551.22,40,0,0
41.183439,-73.173951,6608,150,182.93,17,171.29,3
38.656322,-78.901611,22830,174,212.2,15,198.53,5
25.945583,-80.238586,33056,159,193.9,40,187.06,2
36.00458,-78.853241,27704,272,331.71,100,320,2
27.888538,-81.584496,33853,273,332.93,43,321.18,2
42.308304,-83.121773,48209,142,173.17,22,162.65,3
40.674722,-73.927958,11213,10580,12902.44,100,0,0
34.508771,-97.962163,73533,519,632.93,26,0,0
34.98888,-81.971687,29303,179,218.29,16,25,1
40.87038249,-73.89820442,10468,5022,6124.39,5,0,0
32.093506,-90.299927,39170,366,446.34,18,0,0
36.509398,-80.354823,27053,484,590.24,24,50,1
33.978271,-117.359512,92507,186,226.83,22,218.82,3
41.895317,-71.11132,2780,671,818.29,150,789.41,11
35.473999,-80.641304,28081,466,568.29,30,0,0
38.678376,-121.287926,95610,487,593.9,50,572.95,5
36.008186,-78.910126,27701,384,468.29,10,451.76,1
40.628275,-74.117116,10310,107,130.49,200,125.88,1
36.118252,-80.222467,27105,567,691.46,60,0,0
36.130687,-95.895802,74129,362,441.46,300,425.88,4
35.137081,-78.08324,28365,244,297.56,90,287.06,1
37.51665115,-77.44425964,23224,364,443.9,250,428.24,4
35.301468,-80.774967,28262,424,517.07,425,0,0
39.944969,-75.168764,19146,130,158.54,23,152.95,5
41.987519,-87.702249,60659,448,546.34,30,522.65,6
35.240726,-114.004883,86409,834,1017.07,25,0,0
35.427326,-97.57714,73119,419,510.98,21,0,0
36.231094,-115.149429,89032,264,321.95,150,310.59,2
34.857063,-82.43928194,29611,448.91,547.45,110,0,0
36.31294,-95.605307,74017,360.63,439.79,26,0,0
38.626186,-90.240311,63110,865.17,1055.09,200,1055.09,9
34.022846,-118.347801,90016,274.71,335.01,22,335.37,3
36.75167,-94.85177,74343,441,537.8,20,518.82,1
35.427326,-97.57714,73119,270,329.27,30,329.27,2
37.584403,-77.460308,23227,455,554.88,20,521.95,5
39.422562,-76.291611,21040,544.58,664.12,20,0,0
35.324431,-80.712538,28262,675.66,823.98,20,100,1
35.653696,-78.614329,27529,543.51,662.82,120,0,0
41.309099,-72.892877,6513,191.86,233.98,26,233.98,2
42.023611,-88.160126,60107,193.15,235.55,25,233.23,2
42.363588,-82.949669,48215,561.94,685.29,26,685.29,4
34.089235,-80.922083,29223,357.33,435.77,20,435.77,2
38.73160539,-90.36523321,63134,188.14,229.44,22,50,2
30.788451,-89.855928,70427,424.78,518.02,50,0,0
40.702224,-73.942016,11206,453.17,552.65,20,552.65,10
45.607597,-122.856888,97231,158.52,193.32,100,193.32,1
37.612181,-77.33948,23111,273.41,333.43,15,25,1
33.00257362,-83.5495951,31032,844.54,1029.93,65,0,0
42.68705331,-84.5696811,48910,440.13,536.74,30,514.79,5
41.67306237,-71.16837479,2721,267.64,326.39,130,329.52,5
38.58335607,-121.2984395,95670,813.24,991.76,30,991.76,5
36.117233,-80.150803,27284,712.18,868.51,300,868.51,2
44.815247,-93.295968,55431,166.98,203.63,27,179.58,3
31.11456818,-91.40702147,39669,279.37,340.7,57,0,0
41.697527,-71.480007,2886,684.24,834.44,65,833.46,15
32.880518,-96.865517,75220,367.72,448.44,75,448.44,5
39.937447,-75.223011,19143,146.1,178.17,17,166.64,3
30.447481,-91.062593,70815,576.08,702.54,750,15,1
42.128242,-72.51165,1119,297.82,363.2,23,363.2,5
35.175224,-89.915604,38108,621.98,714.92,40,0,0
33.993713,-118.307549,90062,470.13,540.38,22,0,0
42.402042,-70.993054,2151,840.68,966.3,150,0,0
41.827696,-87.608457,60653,268.74,327.73,4,310.84,5
38.988625,-76.838402,20706,493.2,601.46,140,493.2,1
38.585356,-75.278079,19966,171.44,197.06,21,195.33,3
40.69326,-73.921318,11221,458.78,559.49,500,559.49,1
41.781454,-87.634898,60621,283.5,345.73,130,345.73,8
34.206607,-118.597985,91303,731.36,840.64,19,840.64,1
31.676426,-98.794041,76890,139.08,159.86,15,159.86,3
35.288774,-119.045229,93313,559.87,643.53,30,643.53,1
43.013368,-87.912737,53204,566.16,650.76,125,25,2
21.381649,-157.741127,96734,430.96,495.36,28,15,1
36.155551,-94.175349,72762,385.15,453.12,150,453.12,1
39.317703,-76.585251,21213,278.04,327.11,100,327.1,2
36.64819278,-88.60598139,42066,329.16,387.25,320,386.36,11
41.848932,-87.699206,60623,477.39,561.64,800,0,0
35.02346,-97.37105,73080,395.75,465.59,25,465.59,1
39.408673,-74.509954,8232,208.34,245.11,16,245.11,1
37.787355,-122.187891,94619,1121.05,1318.88,30,0,0
30.0976,-95.229983,77365,291,342.35,41,330.88,11
30.811476,-92.350361,70586,466.54,548.87,60,548.87,4
38.90465185,-77.01634213,20020,315.52,371.2,83,371.2,2
37.653138,-122.479116,94044,252.72,297.32,24,0,0
33.833263,-118.002424,92801,334.52,393.55,100,382.96,29
40.40929,-79.815521,15145,321.02,377.67,40,377.67,10
39.95764923,-82.95973969,43205,141.55,166.53,79,166.53,4
29.927339,-90.075009,70130,350.52,412.38,15,396.49,7
37.31435,-76.76515,23188,424.78,499.74,5,499.74,14
42.309177,-83.129562,48209,417.36,491.01,25,417.36,1
43.019627,-87.951988,53215,427.45,502.88,15,465.82,29
47.517806,-122.371183,98126,350.8,412.71,134,412.71,8
29.203013,-98.603871,78073,649.26,763.84,30,0,0
40.060978,-76.714906,17345,436.43,513.45,20,510.8,12
41.767681,-87.590388,60637,313.26,368.54,9,322.26,4
35.198796,-97.467692,73072,417.92,491.67,20,120,3
37.963879,-87.514214,47714,278.19,327.28,30,321.46,5
36.320608,-80.373872,27021,732.23,861.45,821,732.23,1
46.201044,-123.381146,98612,196.5,231.18,150,211.5,3
41.921255,-87.776659,60639,484.88,570.45,27,25,1
40.819289,-73.90872,10456,814.48,958.21,100,0,0
36.827091,-84.865762,42633,216.42,254.61,202,254.61,4
37.888425,-122.28809,94706,371.87,437.49,25,419.67,6
27.966013,-82.138451,33566,199.15,234.29,20,232.53,7
36.400335,-86.456116,37066,249.99,294.11,23,0,0
33.915215,-118.141403,90242,512.72,603.2,50,596.14,20
41.794892,-71.428713,2907,194.61,228.95,80,228.95,7
43.187486,-89.455012,53597,1039.9,1223.41,20,10,1
33.922794,-118.372048,90250,355.3,418,44,0,0
39.318897,-76.673828,21216,179.24,210.87,26,201.81,3
40.587196,-105.121483,80521,261.02,307.08,93,307.08,5
37.887492,-122.301023,94706,309.97,364.67,30,25,1
36.715027,-76.253426,23322,249.11,293.07,30,291.31,9
29.886283,-97.677573,78644,811,954.12,120,0,0
35.078922,-89.851366,38119,777.77,915.02,72,0,0
32.558494,-84.973532,31904,573.98,675.27,63,620,8
39.934621,-75.163445,19147,1261.33,1483.92,350,1479.5,32
40.717979,-74.013664,10282,582.58,685.39,200,685.39,10
37.67425954,-122.1498216,94580,601.69,707.87,100,0,0
30.466669,-81.630779,32218,684.6,805.41,25,10,1
33.37041,-112.143774,85339,894.44,1052.28,100,1043.46,9
35.070146,-106.608061,87106,467.29,549.75,25,35,1
42.733914,-84.610315,48917,391.46,460.54,24,460.54,2
38.274919,-77.550032,22407,172.69,203.16,125,197.68,4
40.688307,-73.924721,11221,348.48,409.98,15,363.48,3
40.71429825,-74.0059967,10029,329.73,387.92,90,383.51,4
41.970387,-87.71008,60625,346.58,407.74,100,25,1
42.305595,-71.072908,2121,413.09,485.99,12,485.99,13
41.976315,-87.669807,60640,478.02,562.38,12,562.02,14
32.82057526,-94.76886107,75683,397.36,467.48,20,467.48,1
39.955151,-75.176232,19103,1777.69,2091.4,500,380,6
35.534764,-84.357172,37354,169.43,199.33,185,199.33,4
37.887961,-122.268492,94707,517.3,608.59,31,608.59,6
32.855336,-80.072238,29414,903.4,1062.82,127,150,4
47.563877,-122.311661,98108,771.24,907.34,930,115,5
41.199787,-73.181795,6610,313.11,368.36,18,368.36,5
30.249332,-97.587646,78724,480.4,565.18,125,565.18,5
39.87601,-96.255569,66403,789.47,928.79,13,0,0
33.67264478,-96.59750079,75090,287.74,338.52,90,15,1
33.772713,-118.164841,90814,484.28,569.74,22,569.74,3
40.786018,-73.817745,11357,217.68,256.09,180,256.09,3
41.987519,-87.702249,60659,899.59,1058.34,12,25,1
42.026122,-91.653493,52402,156.33,183.92,115,183.92,2
32.734347,-96.844452,75208,355.78,418.56,62,418.56,7
42.750613,-71.495676,3062,252.09,296.58,120,296.57,2
34.016244,-117.907811,91792,459.82,540.96,135,160,11
42.803379,-73.94825,12303,622.49,732.34,16,719.11,17
34.018892,-118.260892,90011,489.58,575.98,22,572.8,16
37.681923,-122.136086,94580,241.28,283.86,28,283.86,3
39.667054,-86.009208,46259,269,316.47,23,316.47,4
34.240359,-118.504547,91325,540.06,635.36,71,635.36,21
37.772773,-121.540513,95391,311.5,366.47,10,366.47,4
34.200378,-118.439102,91405,343.95,404.65,50,40,3
37.27103,-82.939972,41834,1048.42,1233.44,24,1233.44,1
33.775578,-118.265904,90744,763.28,897.98,95,897.98,38
33.95491259,-118.2738916,90003,932.16,1096.66,24,1009.33,32
34.196087,-118.557121,91335,329.27,387.38,22,387.38,12
33.991417,-118.264108,90011,392.1,461.29,58,0,0
34.077117,-117.655791,91762,292.54,344.16,35,344.16,11
41.803885,-87.590334,60615,157.85,185.71,100,185.71,3
35.701119,-84.325053,37774,209.14,246.05,40,246.05,2
42.384572,-83.301256,48239,310.52,365.32,600,356.49,6
39.177303,-84.48111,45237,504.31,593.31,20,593.31,1
34.288495,-118.433949,91340,399.04,469.46,15,469.46,7
39.955151,-75.176232,19103,268.02,315.32,50,315.32,4
34.04307938,-118.2885284,90006,726.2,854.35,20,854.35,1
40.32405033,-104.8352075,80543,382.1,449.53,100,449.53,5
34.9523,-82.007288,29301,288.27,339.14,20,60,2
39.224614,-94.461962,64068,1938.12,2280.14,350,2280.14,2
33.948642,-118.218349,90280,291.93,343.45,17,333.74,6
35.318786,-97.103221,74801,395.04,464.75,18,0,0
26.723497,-80.059434,33401,142.09,167.16,75,167.16,2
35.868476,-81.596882,28645,623.74,733.81,24,156.8,3
40.665113,-73.589397,11520,280.81,330.36,40,330.36,1
39.688055,-87.412665,47842,423.24,497.93,90,480.28,5
42.34088516,-71.09481812,2115,716.88,843.39,120,843.39,1
39.24117,-76.685684,21227,145.99,171.75,20,169.54,7
34.11901855,-118.2308731,90065,256.19,301.4,300,301.4,5
41.067162,-111.998707,84041,384.24,452.05,50,0,0
32.86902,-81.1073,29924,523.57,615.96,21,615.96,9
34.063927,-118.267083,90057,303.59,357.16,16,357.16,4
42.636504,-73.76556,12202,341.22,401.44,25,401.44,6
29.702051,-95.335487,77021,379.33,446.27,75,446.27,2
37.684582,-121.728172,94550,656.07,771.85,26,771.85,1
26.964975,-82.358162,34223,428.87,504.55,18,0,0
32.126881,-110.972277,85756,476.58,560.68,29,560.68,5
36.60156,-119.75402,93725,459.88,541.04,30,25,1
37.67094,-122.069221,94541,445.85,524.53,106,524.53,3
47.524329,-122.264832,98118,355.75,418.53,8,418.53,3
33.705244,-117.769346,92620,556.73,654.98,29,635.52,7
42.71738313,-71.1470063,1841,285.93,336.39,80,336.39,2
43.02367,-85.648361,49525,281.17,330.79,24,325.49,7
29.23014631,-98.24587132,78114,235.06,276.54,60,267.11,1
32.986278,-80.106026,29456,237.33,279.21,30,279.21,12
41.936222,-71.305388,2703,407.39,479.28,21,0,0
29.92222,-95.559821,77064,193.67,227.85,44,227.84,6
29.853018,-95.670593,77084,664.92,782.26,999,782.26,1
29.652686,-95.528218,77071,732.19,861.4,110,861.4,1
33.949169,-118.294365,90044,1624.73,1911.45,25,1911.45,1
40.674722,-73.927958,11213,920.87,1083.38,40,100,1
40.41389599,-74.05546367,7730,924.94,1088.16,19,1042.54,14
33.607533,-117.681473,92691,899.5,1058.24,27,1058.24,1
42.228257,-121.760623,97601,474.57,558.32,20,555.67,18
39.78124,-86.13319136,46201,196.34,230.99,200,227.45,10
39.481369,-80.122816,26554,498.73,586.74,20,0,0
41.63258247,-83.57096627,43609,381.66,449.01,32,446.36,4
26.10803,-81.764656,34112,394.59,464.22,77,0,0
41.972246,-87.75747,60630,178.68,210.21,28,210.21,3
40.37644833,-80.01837373,15234,310.69,365.52,23,365.52,8
41.17845,-73.160694,6607,193.99,228.22,10,10,1
29.708053,-95.632599,77083,303.69,357.28,32,10,1
35.15953,-80.71374,28105,309.75,364.41,20,351.18,13
35.23841,-80.892179,28208,294.85,346.88,60,0,0
45.92733002,-122.7630081,98674,183.97,216.44,14,216.44,5
36.779057,-76.334076,23323,435.45,512.29,20,512.29,12
34.016602,-118.282928,90007,260.71,306.72,26,306.71,2
41.983316,-87.670903,60660,692.3,814.47,28,515,5
29.853993,-95.689652,77449,491.86,578.66,20,578.66,7
42.003718,-87.668289,60626,169.79,199.75,20,190.93,5
30.408676,-91.143655,70808,256.43,301.68,143,301.33,13
38.826797,-104.386116,80808,243.08,285.98,15,285.98,1
35.049185,-82.096627,29349,459.56,540.66,23,0,0
34.026119,-117.879576,91789,895.07,1053.02,31,0,0
28.5537529,-81.27580261,32825,311.59,366.58,24,31,3
30.097445,-81.748557,32068,524.54,617.11,18,617.11,10
35.339613,-119.012945,93307,663.69,780.81,23,20,1
33.98138747,-118.2238783,90255,549.17,646.08,115,100,1
34.104816,-118.216118,90065,472.11,555.42,24,175,3
41.994815,-87.684685,60659,616.67,725.49,70,725.49,16
40.83729172,-73.88600922,10466,181.22,213.2,60,213.2,4
31.58275033,-97.13474298,76704,230.18,270.8,33,0,0
41.56516647,-81.56481171,44110,397.24,467.34,130,467.34,20
33.616994,-112.397838,85379,400.36,471.01,25,471.01,5
35.953404,-95.370506,74467,593.73,698.51,25,0,0
40.703652,-73.611474,11550,231.98,272.92,60,231.98,2
33.455059,-112.003242,85008,911.15,1071.94,80,1021.84,37
41.639097,-87.05275,46304,375.04,441.22,60,75,2
37.761958,-122.193209,94621,225.5,265.29,100,260.89,5
32.58203774,-101.0046872,79527,6749.71,7940.84,75,300,3
35.360628,-119.008418,93304,772.27,908.55,23,908.55,1
33.717117,-117.875488,92707,395.64,465.46,15,465.46,4
31.053661,-97.662743,76548,376.3,442.71,24,0,0
29.727499,-95.320923,77023,796.81,937.42,200,918.12,11
33.747093,-118.018825,92647,677.45,797,25,797,1
26.248365,-80.244324,33071,429.14,504.87,20,111,3
34.1459198,-117.9117966,91702,465.82,548.02,100,521.55,6
40.785559,-73.942629,10029,623.78,733.86,100,731.74,15
61.58261108,-149.6354065,99623,641.29,754.46,30,754.46,1
30.250879,-81.633257,32217,335.96,395.25,180,395.25,7
34.947765,-81.981094,29301,182.44,214.64,361,214.64,6
39.394205,-107.206441,81623,247.85,291.59,20,291.59,5
47.307056,-122.222595,98002,172.23,202.62,10,202.62,5
43.180266,-112.344671,83221,307.43,361.68,20,360.8,10
33.746218,-117.77979,92782,914.09,1075.4,100,1075.4,1
47.572041,-122.693214,98312,394.28,463.86,25,446.21,4
25.742291,-80.347515,33165,806.48,948.8,122,948.8,2
36.626395,-121.833533,93955,732.43,861.68,10,150,2
41.761261,-72.690588,6106,337.47,397.02,25,383.93,10
25.894952,-80.307896,33014,1184.52,1393.55,30,102,2
34.11738,-118.182632,90042,914.09,1075.4,25,130,3
25.825359,-80.231689,33142,763.93,898.74,20,898.74,1
40.87038249,-73.89820442,10468,338.03,397.68,125,345.53,3
